XStart,	YStart
466,	112
272,	115
385,	116
332,	117
358,	119
526,	119
408,	120
508,	123
543,	125
474,	128
254,	130
512,	132
312,	135
535,	135
396,	146
543,	150
479,	155
526,	155
462,	158
422,	160
569,	162
264,	169
431,	170
581,	173
464,	175
585,	178
567,	184
425,	189
579,	200
772,	202
432,	206
738,	206
673,	209
551,	212
263,	216
712,	223
444,	225
472,	225
660,	236
406,	237
582,	242
609,	256
739,	259
789,	261
419,	265
554,	268
595,	270
538,	273
625,	280
502,	283
668,	284
538,	289
408,	294
620,	299
578,	303
544,	307
577,	313
680,	314
412,	315
734,	319
373,	324
313,	328
825,	329
412,	336
682,	341
832,	341
384,	342
569,	345
375,	350
863,	354
692,	356
822,	357
902,	359
715,	361
367,	369
353,	371
667,	373
883,	377
326,	381
813,	388
688,	390
661,	392
390,	398
561,	407
674,	408
475,	409
289,	411
334,	413
437,	418
648,	425
337,	429
495,	431
467,	438
684,	438
485,	446
341,	451
684,	456
327,	459
311,	462
675,	468
543,	470
578,	473
602,	473
522,	479
671,	479
572,	483
486,	485
703,	485
551,	486
296,	493
674,	493
537,	508
677,	512
489,	522
702,	524
516,	525
635,	531
679,	540
707,	545
655,	546
586,	554
609,	554
642,	554
861,	556
519,	559
755,	561
622,	569
878,	570
840,	572
507,	577
827,	581
876,	583
691,	586
899,	592
612,	594
764,	597
860,	598
590,	606
689,	606
674,	613
591,	618
739,	620
778,	620
699,	621
796,	635
857,	644
558,	647
659,	651
818,	653
755,	655
638,	663
601,	665
743,	665
794,	668
675,	687
878,	687
843,	692
700,	694
654,	696
811,	698
875,	700
419,	703
712,	708
800,	709
676,	712
852,	712
706,	717
786,    717
818,    719
724,    722
624,	729
723,	735
684,	743
792,	744
744,	748
532,	764
546,	781
783,	782
467,	783
418,	787
730,	787
497,	795
451,	798
535,	801
509,	803
562,	803
475,	807
538,	811
509,	817
416,	818
532,    822
408,	835
231,	837
454,	842
506,	842
528,	847
401,	856
564,	860
446,	866
518,	868
424,	870
482,	872
472,	894
530,	894
434,	901
