,X,Y,distance
0,466,112,310.9
1,272,115,245.74
2,385,116,281.09
3,332,117,263.12
4,358,119,269.57
5,526,119,323.54
6,408,120,284.69
7,508,123,313.97
8,543,125,323.32
9,474,128,298.32
10,254,130,225.75
11,512,132,306.73
12,312,135,239.65
13,535,135,311.28
14,396,146,256.21
15,543,150,299.65
16,479,155,274.35
17,526,155,289.45
18,462,158,266.05
19,422,160,251.31
20,569,162,296.64
21,264,169,192.03
22,431,170,244.73
23,581,173,290.07
24,464,175,250.59
25,585,178,286.62
26,567,184,275.16
27,425,189,224.81
28,579,200,263.86
29,772,202,323.97
30,432,206,210.96
31,738,206,309.26
32,673,209,285.53
33,551,212,243.5
34,263,216,147.2
35,712,223,284.81
36,444,225,196.82
37,472,225,205.81
38,660,236,255.79
39,406,237,173.25
40,582,242,225.05
41,609,256,220.47
42,739,259,259.39
43,789,261,273.55
44,419,265,150.91
45,554,268,191.43
46,595,270,202.71
47,538,273,181.56
48,625,280,202.88
49,502,283,160.53
50,668,284,212.9
51,538,289,166.41
52,408,294,119.91
53,620,299,183.28
54,578,303,166.0
55,544,307,151.29
56,577,313,156.21
57,680,314,188.35
58,412,315,101.31
59,734,319,200.96
60,373,324,80.26
61,313,328,57.2
62,825,329,220.72
63,412,336,81.42
64,682,341,163.42
65,832,341,211.61
66,384,342,66.75
67,569,345,123.33
68,375,350,56.28
69,863,354,209.26
70,692,356,152.43
71,822,357,193.24
72,902,359,217.05
73,715,361,155.08
74,367,369,35.72
75,353,371,29.32
76,667,373,128.3
77,883,377,193.9
78,326,381,11.18
79,813,388,161.0
80,688,390,118.95
81,661,392,108.38
82,390,398,15.64
83,561,407,62.05
84,674,408,97.4
85,475,409,32.53
86,289,411,29.11
87,334,413,16.55
88,437,418,11.8
89,648,425,72.95
90,337,429,30.74
91,495,431,18.12
92,467,438,2.5
93,684,438,72.21
94,485,446,0.7
95,341,451,50.29
96,684,456,55.16
97,327,459,62.36
98,311,462,70.34
99,675,468,40.9
100,543,470,3.39
101,578,473,5.01
102,602,473,12.72
103,522,479,18.66
104,671,479,29.2
105,572,483,6.39
106,486,485,35.91
107,703,485,33.8
108,551,486,15.97
109,296,493,104.52
110,674,493,16.91
111,537,508,41.31
112,677,512,0.12
113,489,522,69.98
114,702,524,3.45
115,516,525,64.15
116,635,531,31.61
117,679,540,25.99
118,707,545,21.73
119,655,546,39.39
120,586,554,69.13
121,609,554,61.74
122,642,554,51.14
123,861,556,17.32
124,519,559,95.39
125,755,561,21.47
126,622,569,71.77
127,878,570,9.52
128,840,572,4.58
129,507,577,116.29
130,827,581,17.28
131,876,583,3.43
132,691,586,65.7
133,899,592,4.57
134,612,594,98.66
135,764,597,52.67
136,860,598,22.78
137,590,606,117.09
138,689,606,85.28
139,674,613,96.73
140,591,618,128.13
141,739,620,82.48
142,778,620,69.95
143,699,621,96.28
144,796,635,78.37
145,857,644,67.3
146,558,647,166.19
147,659,651,137.54
148,818,653,88.35
149,755,655,110.48
150,638,663,155.65
151,601,665,169.43
152,743,665,123.81
153,794,668,110.27
154,675,687,166.49
155,878,687,101.28
156,843,692,117.25
157,700,694,165.09
158,654,696,181.76
159,811,698,133.22
160,875,700,114.55
161,419,703,263.88
162,712,708,174.49
163,800,709,147.17
164,676,712,189.84
165,852,712,133.3
166,706,717,184.94
167,786,717,159.24
168,818,719,150.85
169,724,722,183.89
170,624,729,222.64
171,723,735,196.52
172,684,743,216.63
173,792,744,182.88
174,744,748,202.09
175,532,764,285.34
176,546,781,296.95
177,783,782,221.76
178,467,783,324.22
179,418,787,343.75
180,730,787,243.52
181,497,795,325.94
182,451,798,343.56
183,535,801,319.42
184,509,803,329.67
185,562,803,312.64
186,475,807,344.38
187,538,811,327.93
188,509,817,342.92
189,416,818,373.75
190,532,822,340.27
191,408,835,392.41
192,231,837,451.17
193,454,842,384.27
194,506,842,367.56
195,528,847,365.23
196,401,856,414.55
197,564,860,365.98
198,446,866,409.56
199,518,868,388.33
200,424,870,420.42
201,482,872,403.68
202,472,894,427.73
203,530,894,409.1
204,434,901,446.56
